date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:01	56142/56142	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:14%20GMT	https://colorlib.com//polygon/admindek/default/index.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/index.html	(from )
11:57:02	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
11:57:02	142181/142181	---MCZ	200	added ('OK')	text/css	etag:W/%225b058112-22b65%22	https://colorlib.com//polygon/admindek/files/bower_components/bootstrap/css/bootstrap.min.css	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/files/bower_components/bootstrap/css/bootstrap.min.css	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:02	4825/4825	---MCZ	200	added ('OK')	text/css	etag:W/%225b0584d7-12d9%22	https://colorlib.com//polygon/admindek/files/assets/pages/waves/css/waves.min.css	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/files/assets/pages/waves/css/waves.min.css	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:02	9786/9786	---MCZ	200	added ('OK')	text/css	etag:W/%225b058412-2e1d%22	https://colorlib.com//polygon/admindek/files/assets/icon/feather/css/feather.css	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/files/assets/icon/feather/css/feather.css	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:02	34680/34680	---MCZ	200	added ('OK')	text/css	etag:W/%225b058090-8778%22	https://colorlib.com//polygon/admindek/files/assets/css/font-awesome-n.min.css	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/files/assets/css/font-awesome-n.min.css	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:03	11479/11479	---MCZ	200	added ('OK')	text/css	etag:W/%225b058134-3863%22	https://colorlib.com//polygon/admindek/files/bower_components/chartist/css/chartist.css	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/files/bower_components/chartist/css/chartist.css	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:03	315026/315026	---MCZ	200	added ('OK')	text/css	etag:W/%225b05808e-4eca7%22	https://colorlib.com//polygon/admindek/files/assets/css/style.css	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/files/assets/css/style.css	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:03	17868/17868	---MCZ	200	added ('OK')	text/css	etag:W/%225b05808e-5e94%22	https://colorlib.com//polygon/admindek/files/assets/css/widget.css	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/files/assets/css/widget.css	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:03	38536/38536	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db85024-9688%22	https://ajax.cloudflare.com/cdn-cgi/scripts/04b3eb47/cloudflare-static/mirage2.min.js	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/ajax.cloudflare.com/cdn-cgi/scripts/04b3eb47/cloudflare-static/mirage2.min.js	(from https://colorlib.com//polygon/admindek/default/index.html)
